id,level,set,question,choice_1,choice_2,choice_3,choice_4,answer_index,explanation,tag,image
38,4,4,次の天守のうち、天守に廻縁がない城はどれか,犬山城,高知城,丸岡城,姫路城,3,,過去問,
39,4,4,熊本城を築城した戦国武将は誰か,加藤清正,福島正則,黒田官兵衛,長曾我部元親,0,,過去問,
40,4,4,写真のように隙間なく石を積む、石垣の積み方をなんというか,切込接,野面積,打込接,四角積,0,,過去問,
41,4,5,次のうち天守がなかった城はどれか,広島城,郡山城,高松城,越前大野城,1,,過去問,
42,4,5,徳川家康は関ヶ原の戦い後、大阪城包囲網をつくるため諸大名たちを動員して名古屋城、篠山城などを築城した。その築城は何と呼ばれているか,徳川普請,天下普請,大名普請,将軍普請,1,,過去問,
43,4,5,天守の中でも小天守や櫓を持たない形式を独立式天守と呼ぶが、次のうち独立式天守はどれか,丸岡城,松本城,岡山城,松江城,0,,過去問,
44,4,5,搦手門とは、城のどの出入り口にある門か,正面口,通用口,隠し口,裏口,3,,過去問,
45,4,5,標高132mの勝山山頂に本丸を置く、連郭式平山城で、複雑な構成をした天守群をはじめ、数多くの櫓や門を見ることが出来る現存天守はどれか,松山城,犬山城,丸亀城,高知城,0,,過去問,
46,4,5,城、あるいは曲輪の出入り口である虎口の守備をさらに堅固にするために土塁や石垣を配置し、廻りに堀をうがった小さな区画のことをなんというか,武者出,車出,馬出,搦手,2,,過去問,
47,4,5,金沢城にある写真の壁をなんというか,うろこ壁,かまぼこ壁,亀甲壁,海鼠壁,3,,過去問,
48,4,5,城と所在地の組み合わせで間違っているものはどれか,彦根城 ー 滋賀県,甲府城 ー 山梨県,掛川城 － 愛知県,米沢城 ー 山形県,2,掛川城は静岡県掛川市にある。,過去問,
49,4,5,写真の岩国城のような下階より上階の平面を大きく作って張り出させる造をなんというか,南蛮造,桃山造,寺社造,高麗造,0,,過去問,
50,4,5,次のうち国宝に指定されていない城はどれか,松本城,犬山城,彦根城,丸岡城,3,,過去問,
51,4,6,日本三名園の一つである兼六園を持つ城はどれか,金沢城,水戸城,岡山城,高岡城,,,過去問,
